0 -9.470e-22 2.378e-25
2 -8.578e-21 2.043e-24
4 -1.206e-20 2.844e-24
6 -5.004e-21 1.058e-24
8 7.285e-20 -1.757e-23
10 1.074e-19 -2.531e-23
12 5.287e-20 -1.256e-23
14 -9.270e-20 2.189e-23
16 -2.412e-19 5.681e-23
18 -7.528e-20 1.800e-23
20 2.810e-20 -5.988e-24
22 1.323e-19 -3.056e-23
24 3.222e-20 -7.849e-24
26 -7.804e-21 1.491e-24
28 -3.017e-20 6.996e-24
30 -1.901e-21 4.907e-25
32 1.569e-21 -3.173e-25
34 1.164e-21 -2.787e-25
36 4.832e-24 -1.394e-27
38 -5.540e-23 1.189e-26
40 -2.169e-24 6.099e-28
42 2.973e-25 -5.137e-29
44 6.392e-26 -1.614e-29
46 -1.426e-28 7.987e-33
48 -1.773e-28 4.197e-32
50 -8.784e-34 1.833e-36
52 5.160e-32 -1.183e-35
54 7.022e-36 -2.603e-39
56 3.809e-36 -1.258e-39
58 8.789e-36 -2.848e-39
60 1.454e-35 -4.735e-39
